Season,Rank,Last Name and First Name,Points
2025_2026,35,KOVACIC Maja,95
2025_2026,40,HIRVONEN Heta,68
2025_2026,41,ZANITZER Martina,58
2025_2026,44,KORHONEN Minja,50
2025_2026,46,TOTH Daniela Vasilica,41
2025_2026,47,MATTILA Sofia,39
2025_2026,49,TERBOVSEK Taja,28
2025_2026,51,KAPUSTIKOVA Kira Maria,21
2025_2026,57,SAITO Yu,9
2025_2026,59,AIKIA Julia,7
2025_2026,60,SPROCH Sandra,5
2025_2026,60,THURE Oosa,5
2025_2026,60,KREIBICH Julina,5
2025_2026,65,KOZLOVA Karina,3
2025_2026,67,HIRNER Lisa,1
