Season,Rank,Last Name and First Name,Points
1992_1993,46,MEGLIC Robert,7
1992_1993,46,REUTELER Bruno,7
1992_1993,50,AHONEN Janne,5
1992_1993,50,DEIMEL Jens,5
1992_1993,53,LJOEKELSOEY Roar,4
1992_1993,54,DIESS Alexander,2
1992_1993,54,WANGLER Timo,2
1992_1993,59,BIELCIK Marian,1
1992_1993,59,HAPPONEN Olli,1
1992_1993,59,SAKURAI Hitoshi,1
1992_1993,59,SIEGMUND Gerd,1
1992_1993,59,STOECKL Alexander,1
1992_1993,59,VAEAETAEINEN Janne,1
1993_1994,20,KROMPOLC Zbynek,183
1993_1994,23,DESSUM Nicolas,166
1993_1994,30,JAEKLE Hansjoerg,115
1993_1994,37,WOIEN Geir Atle,89
1993_1994,38,LANGLOIS Tad,88
1993_1994,41,KOPONEN Tero,74
1993_1994,42,SAITO Hiroya,73
1993_1994,45,RASMUSSEN Johan,64
1993_1994,49,INGEBRIGTSEN Tommy,52
1993_1994,52,SKUPIEN Wojciech,47
1993_1994,57,BECK Andreas,41
1993_1994,59,BOERSETH Kurt,36
1993_1994,60,WALLNER Matthias,34
1993_1994,62,JOHANSSON Fredrik,31
1993_1994,65,JARDIN Ruddy,23
1993_1994,67,SIEBERT Steffen,20
1993_1994,68,HORNSCHUH Ronny,16
1993_1994,68,SAVOLAINEN Kimmo,16
1993_1994,71,JEKOVEC Dajan,15
1993_1994,71,SUCHACEK Jakub,15
1993_1994,75,NOROTA Yoshikazu,12
1993_1994,78,SAKAGUCHI S.,10
1993_1994,79,BIRCHLER Christof,8
1993_1994,79,ZEHNDER Sepp,8
1993_1994,81,WEBER Randy,7
1993_1994,82,SATO Masayuki,6
1993_1994,84,JIROUTEK Jakub,5
1993_1994,84,JUSSILAINEN Risto,5
1993_1994,87,JOHNSEN Hakon,3
1993_1994,90,GREGGER Andy,2
1993_1994,90,HANNAWALD Sven,2
1993_1994,94,MATTILA Jani,1
1993_1994,94,SCHALLERT Gerhard,1
1994_1995,4,FUNAKI Kazuyoshi,843
1994_1995,14,SCHWARZENBERGER Reinhard,394
1994_1995,26,WIDHOELZL Andreas,169
1994_1995,31,MEINEL Rico,102
1994_1995,40,CHEVALIER-GIROD Lucas,66
1994_1995,42,FUKITA Yukitaka,62
1994_1995,43,KAHANEK Jaroslav,61
